Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
Epoch:[0/3] Iter: [0/1562], Loss:  2.623158, ACC:[ 0.031250]
